ID,TEMA,LOCAL,TEMPO,CATEGORIA,STATUS,DESCRICAO,URL,ANO,MES,DIA,DIA_DO_ANO,SEMANA_DO_ANO,DIA_DA_SEMANA,TRIMETRES,CASOS
 27859289,Seguro Nagem celular é uma [Editado pelo Reclame Aqui] ???,Fortaleza - CE,2017-01-08,Nagem - Loja Física<->Problemas com o Atendimento,Não resolvido,"Comprei um celular LG na loja NAGEM do shopping Jóckey no dia 16/05/2017 ás 20:30 hs, me ofereceram um seguro contra furto, quase me obrigaram a aderir ao seguro, pq era ótimo e em caso de ser furtado seria 100% seguro de q receberia outro aparelho, porém, furtaram meu celular dentro do carro eu n perdi foi furto ok, 1 mês após a compra e a seguradora não aceitou me repor o celular, alegando que foi furto simples, n se encaixa no padrão do contrato da empresa. Q grande absurdo !! Na loja aceitei o seguro devido a tamanha insistência da vendedora q garantiu q seria ressarcido em caso de furto, o q n aconteceu, a loja NAGEM esta usando de[Editado pelo Reclame Aqui] com seus clientes, a LOJA teria por obrigação deixar claro no ato da adesão ao seguro, q existem critérios a serem analisados pela seguradora, caso n seja furto seguido de violência n tenho direito ao ressarcimento, estou me sentindo totalmente [Editado pelo Reclame Aqui] por essa empresa .Diante do fato exposto, espero uma resposta, pois não justifica eu pagar um seguro por insistência da loja e n poder utilizar pq simplesmente a seguradora faz a interpretação que melhor lhe convir. NAGEM e Seguradora SURA, mais respeito por seus clientes por favor .",https://www.reclameaqui.com.br//nagem-loja-fisica/seguro-nagem-celular-e-uma_TkWtFoAgVJyez7JU/,2017,1,8,8,1,6,1,1
 28562465,Demora na finalização da venda  / Mau atendimento,Recife - PE,2017-01-09,Nagem - Loja Física,Resolvido,"Fui na loja Nagem do Shopping Recife, fiz uma compra no valor de R$ 21,47, paguei com R$ 50,00, a atendente do caixa, informou que não teria troco, questionando se eu não teria R$ 1,47, como eu não tinha, ela saiu do caixa para realizar a troca do dinheiro dentro da própria loja, no escritório e me fez esperar 18 minutos. Um absurdo! Ao trazer o meu troco, mal olhou pra mim e deu um obrigado forçado.Acho totalmente fora do contexto da Nagem, uma empresa que tenho como referência pois sempre fui atendida bem, embora, nos caixas há uma demora comum, mas hoje passou dos limites.",https://www.reclameaqui.com.br//nagem-loja-fisica/demora-na-finalizacao-da-venda-mau-atendimento_EjWI_fQ69J9IjJta/,2017,1,9,9,2,0,1,1
 29249337,Problemas com a troca de produto,Salvador - BA,2017-01-10,Nagem - Loja Física,Respondida,"Comprei um celular da Samsung J5 prime no sábado dia 30/09/2017 na loja Nagem do Salvador Shopping, fui atendida por um vendedor da loja e uma promotora da Samsung que me explicou tudo que eu deveria fazer com o celular em relação a bateria e outras funções que eu segui a risca, no dia seguinte domingo 01/10/2017 quando acordei o celular estava apagado e não ligou mais e nem deu nenhum sinal de vida, fui até a loja pra fazer a troca do produto já que fui informada que teria 7 dias para fazer a troca, durante a semana não tenho tempo por isso fui logo, lá na loja eles não fizeram ab troca alegando que era necessário antes passar por análise técnica, mas o técnico não estava na loja, vendedores tinham pra mais de 10 em uma loja pequena, agora um técnico que pode resolver problemas dos consumidores não tinha. E quando comprei  não fui informada e nem vi nenhum anúncio dizendo que não fazia trocas aos domingos, eu perdi tempo e dinheiro indo la hoje é novamente amanhã pra tentar fazer a troca,  o atendimento pra venda é ótimo mas se você tiver problemas haja burocracia pra resolver, pq se o celular não liga, não carrega e não dá nenhum sinal, qualquer leigo sabe que não funciona quem dirá uma gerente de loja. E eu ja tinha colocado película de vidro no celular e fui informada que eles não vão me devolver o valor gasto no produto quebrado que eles me venderam, um absurdo!",https://www.reclameaqui.com.br//nagem-loja-fisica/problemas-com-a-troca-de-produto_v3rsbcP-irhLurbD/,2017,1,10,10,2,1,1,1
 29999183,Produto com defeito/desrespeito com o consumidor,Olinda - PE,2017-01-11,Nagem - Loja Física,Respondida,"No dia 25 /10 /2017 realizei uma compra de um aparelho celular samsung j5 prime , cupom fiscal  016799, na loja Nagem - shopping Tacaruna  Recife/PE o qual saiu carimbado com o prazo de troca de 7 dias na loja caso apresentasse algum defeito .  No dia 27 o celular apresentou defeito em duas teclas do touch ,no dia 30  fui a loja entreguei na mão da gerente que verificou e constatou que o aparelho estava realmente com defeito,a mesma ligou para o técnico da samsung o sr Israel , que veio e tbm constatou que estava com defeito . Ele analisou o celular que ainda estava com a película original do aparelho que sai da loja ,com etiqueta com imei e com uma capa ´protetora que comprei no mesmo dia saindo do shopping ,porem o senhor Israel com toda arrogância disse que o aparelho estava com um arranhão e  deu a intender que o aparelho estava apresentado defeito por este motivo . Depois de argumentar que uma coisa não tem nada haver com a outra ate por que eu  não tinha conhecimento deste arranhão pois tirei da caixa e coloquei na capa protetora ,ele levou para analise por uma hora .Ao retorna ele informou que fez um reset e o celular voltou a funcionar .Ao chega em casa o problema voltou a acontecer e hoje dia 31/10/17 fui novamente a loja ,entreguei na mão do supervisor que constatou que estava com defeito , entrou em contato com o técnico e levou para o mesmo que  com total falta de respeito não compareceu para falar comigo nem estimou o tempo de espera . fiquei secar de 2 horas esperando o retorno deste senhor que só apareceu 5 minutos antes de larga (eu mim informei a hora que o mesmo largava ) dizendo que o aparelho estava funcionando, pois ele ligou e desligou e o aparelho estava normal , ou seja o procedimento do técnico  é só liga e deligar coisa que eu também já fiz e o aparelho sempre volta a apresentar defeito. Tomarei minhas providencias ,pois não vou ficar no prejuízo paguei caro por um produto que veio com defeito e a loja não atendeu ao prazo estabelecido por ela  mesma e  não resolveu a situação e para completar o desrespeito o técnico  não teve o minimo de respeito comigo que sou cliente e não deu um atendimento digino de pós venda  .Tive desgaste financeiro e desgaste emocional . Se eu adquiri um produto é por que preciso e quero um produto perfeito .",https://www.reclameaqui.com.br//nagem-loja-fisica/produto-com-defeito-desrespeito-com-o-consumidor_0ViDqSuGfms67iMF/,2017,1,11,11,2,2,1,1
 30812099,Descaso Comsumidor,Salvador - BA,2017-01-12,TV<->Blackfriday<->Tela trincada<->Eletroeletrônicos<->Nagem - Loja Física,Não resolvido,"Na sexta feira do dia 24/11/2017,fui efetuar uma compra do televisor Samsung ,de 55 polegadas de modelo 55MU6100. testado na loja estava bom ,porem ao chegar em casa intacto sem um arranhão ou tombo sofrido,queda etc... o mesmo apresentou a tela manchada e com riscos internos.retornei no mesmo dia a loja e se negaram a trocar e presenciei vários consumidores reclamando de diversos aparelhos celulares e do mau atendimento prestado.o Gerente Shr Bruno me informou que não poderia fazer nada por mim informando que eu estava devolvendo um produto quebrado ,que eu tinha avariado o mesmo,ou seja me acusando de mau uso sem provas isso me deixou profundamente chateado pois paguei a vista 3,170,00  . informei a ele que não tinha acontecido isso apenas ele apresentou defeito. o shr Bruno ainda me alertou que a Samsung de nada poderia me ajudar pois já tinha experiencia em casos semelhantes .confirmando assim que a loja já tinha vários outros problemas do gênero.a data da avaliação técnica foi efetuada um dia antes da minha compra como segue as fotos . isso me deixou uma duvida sera que trocaram o meu produto sem que percebesse . o profissional que avaliou fez pouco caso e me tratou com desprezo , alguns funcionários,riram de mim .peço a compreensão da loja citada para que resolvam meu problema para que volte a ser comsumidor dos mesmos .",https://www.reclameaqui.com.br//nagem-loja-fisica/descaso-comsumidor_hV9SLiybbILME5Dc/,2017,1,12,12,2,3,1,1
 25907011,nagem do shopping paralela nao troca por defeito,Salvador - BA,2017-02-05,Nagem - Loja Física<->Produto com defeito<->Informática<->Caixas de som e fone de ouvido,Não resolvido,"Venho por meio deste relatar minha experiencia negativa com compra e troca de mercadoria na loja nagem unidade shopping paralela.no dia 09/02/17 comprei um fone da marca multilaser modelo sport phone, fui informada pela caixa no ato da compra que a troca por defeito se da dentro do prazo de 3 meses a partir da data da compra.No dia 25/04/17 fui na mesma loja que efetuei a compra com os fones pois o encaixe do intra auricular havia soltado, descolado mesmo e com a nota original em mãos. Deixei o produto para analise e fui informada que o produto passaria por analise do tecnico mas a funcionaria ja havia passado a situação para a supervisora que previamente informou que nao haveria possibilidade de troca. Mesmo assim deixei o produto, recebi um papel com os detalhes do produto e data da retirada.No dia 27/04 retornei para ter um parecer, e nao foi aprovada a minha troca, o funcionario que me atendeu apenas me devolveu o produto e disse que nao foi aprovada a troca.Perguntei o porque e ele disse que nao foi constatado defeito.Perguntei novamente o pq nao ser constatado defeito uma vez que o produto havia descolado, o tecnico disse que nao faria a troca pq o produto mesmo com defeito se encontrava com avaria. Perguntei a ele se ele iria ignorar o defeito por causa de uma avaria e ele disse sim, nao vai trocar. Percebi apenas descaso.Supervisora que manda recado, tecnico que nao sequer da uma satisfação.Nao compro mais , nao indico.Quero deixar claro que fui dentro do prazo de troca que a empresa garante MAS NAO CUMPRE e com a nota original do produto.",https://www.reclameaqui.com.br//nagem-loja-fisica/nagem-do-shopping-paralela-nao-troca-por-defeito_VzBDNN9K9kdLRfjJ/,2017,2,5,36,5,6,1,1
 30036797,Compei um Samsung J5 Prime e ele deu defeito,São José de Mipibu - RN,2017-02-11,Nagem - Loja Física,Respondida,"Comprei um Samsung J5 Prime em  22/10/2017 e no dia 29/10/2017 ele desligo e não ligo por nada, não carregava, não dava nenhum sinal.  Até ai ainda estava na garantia que a loja dá, são 7 dias, não consegui ir no mesmo dia a loja por ser um dia de trabalho onde a muito movimento, e moro no interior, então fui no dia seguinte dia 30/10/2017 deixei o Samsung J5 Prime na loja Nagem onde foi feita a compra pra eles testarem, eles levaram em media de 2 horas pra analisarem o problema. Quando voltei pra buscar, não tinham feito nada no Samsung J5 Prime e no laudo eles sugerem que o defeito se deve por um micro arranhão. Alegaram que não podiam fazer nada devido a um micro risco que mal da pra ver a olho nu do lado esquerdo do celular próximo da entrada cartão sim. Mas me entregaram o Samsung J5 Prime ligado e não me deram nenhuma informação do que era o problema. Agora estou com um Samsung J5 Prime todo defeituoso, toco em um lugar e ele respode em outro, fica digitando sozinho. Estou muito insatisfeito primeio com a Samsung por colocar um Samsung J5 Prime no mercado e com a loja Nagem pelo mal atendimento e total descaso com um cliente. Gostaria de um posicionamento, por que uso o Samsung J5 Prime também no trabalho. Fica aqui registrada a minha insatisfação com as duas empresas Samsung e Nagem.",https://www.reclameaqui.com.br//nagem-loja-fisica/compei-um-samsung-j5-prime-e-ele-deu-defeito_bIs7ouMJeAGHga8C/,2017,2,11,42,6,5,1,1
 24334889,maquina fotografica,Salvador - BA,2017-02-17,Nagem - Loja Física<->Foto e Vídeo<->Filmadora<->Não reconhece cartão de memória,Resolvido,"comprei uma maquina fotografica me deran uma do mostuario e nao testaram o cartao de memoria pq a loja nao tinha disponivel fui comprei o cartao quando coloquei ele nao lia fui ate a loja o tecnico fez o teste e realmente não funcionava blz ate ai eles me informaram que na ia troca nao pq la não trocava mandou eu procurar assistência como pode paquei 3000 três mil ne uma maquina urgente pra usar e agora ela ja vai ter que ir pra garantia sem usa a gerente me disse simplismente que si peco ajuda de vcs pq estou sem saber o que fazer ,.",https://www.reclameaqui.com.br//nagem-loja-fisica/maquina-fotografica_xUs8c2iwZqAmGYGC/,2017,2,17,48,7,4,1,1
 24401499,CARTUCHO HP NÃO FUNCIONA,Recife - PE,2017-02-21,"Produto com defeito<->Nagem - Loja Física<->Componentes, peças e acessórios<->Informática",Respondida,"HÁ, MAIS OU MENOS, UM MÊS COMPREI DOIS CARTUCHOS HP, SENDO UM COLORIDO E O OUTRO PRETO E BRANCO NA LOJA NAGEM DO SHOPPING CENTER RECIFE, PORÉM, APÓS INSTALAR OS CARTUCHOS USEI, POR ALGUM TEMPO, APENAS, O PRETO, QUANDO PRECISEI UTILIZAR O COLORIDO O MESMO NÃO FUNCIONOU, OU SEJA, NÃO CONSEGUI IMPRIMIR NADA EM CORES. ENTREI EM CONTATO COM A NAGEM QUE ME PEDIU PARA PROCURAR A HP O QUE FIZ. FALEI COM O DENILSON QUE FEZ ALGUNS TESTES E, SEGUNDO ELE, O CARTUCHO COLORIDO NÃO É ORIGINAL DA HP E NÃO TERÁ COMO RESOLVER E QUE EU VOLTASSE A PROCURAR A NAGEM. NESTE CASO PEÇO PROVIDENCIAS, VISTO QUE A NAGEM É FORNECEDORA DA HP E ELES DEVEM TOMAR AS DEVIDAS PROVIDENCIAS - PROTOCOLO: 3809615936",https://www.reclameaqui.com.br//nagem-loja-fisica/cartucho-hp-nao-funciona_pBm-UOX7zDJFE1GS/,2017,2,21,52,8,1,1,1
 24493031,celular não funciona,Jaboatão dos Guararapes - PE,2017-02-24,Eletroeletrônicos<->Nagem - Loja Física,Resolvido,"Boa noite! Me chamo Daisy,comprei um celular da marca lenovo modelo vibe k6 a uma semana,data 17/02/2017 na loja nagem.O celular estava normal,até então quando simplesmente do nada apagou e não quis mais ligar.Já coloquei o mesmo no carregador e o celular só liga aparecendo a tela inicial e depois desliga. Estou chateada e muito insatisfeita,pensando em levar o caso ao procon,pois uma semana de uso e o celular já apresentou defeito.Estarei levando o mesmo na assistência,porém desde já,estou demonstrando minha insatisfação.O vendedor informou que só teria garantia pela loja de um dia,onde todas as lojas dão 07 dias,no qual mesmo assim o aparelho deu problema agora a noite dia 24/02/2017.Como informei,estarei indo na assistência,porem procurando também o procon e delegacia do consumidor para procurar meus direitos...Desde já grata!",https://www.reclameaqui.com.br//nagem-loja-fisica/celular-nao-funciona_eG9EgVy34bYjxbtL/,2017,2,24,55,8,4,1,1
